key;FR;EN;DE;ES;PT;CN;JP;TR
editAnnotationPageLanguageLabel;Langue;Language;;;;;;
editAnnotationPageSave;Sauvegarder;Save settings;;;;;;
equipmentEditorThumbnailUploadFailed;Echec de l’envoi de la miniature : <br/>{{thumbnail}}<br/>{{error}};Failed to upload thumbnail :<br/>{{thumbnail}}<br/>{{error}};;;;;;
equipmentEditorThumbnailDeleteFailed;Echec de la suppression de la miniature : <br/>{{thumbnail}}<br/>Clé : {{key}};Failed to delete thumbnail :<br/>{{thumbnail}}<br/>Key: {{key}};;;;;;
equipmentEditorDatasheetUploadFailed;Echec de l’envoi de la documentation : <br/>{{datasheet}}<br/>{{error}};Failed to upload datasheet :<br/>{{datasheet}}<br/>{{error}};;;;;;
equipmentEditorDatasheetDeleteFailed;Echec de la suppression de la documentation : <br/>{{datasheet}}<br/>Clé : {{key}};Failed to delete datasheet :<br/>{{datasheet}}<br/>Key: {{key}};;;;;;
equipmentEditorPictureUploadFailed;Echec de l’envoi de l’image : <br/>{{picture}}<br/>{{error}};Failed to upload picture:<br/>{{picture}}<br/>{{error}};;;;;;
equipmentEditorPictureDeleteFailed;Echec de la suppression de l’image : <br/>{{picture}}<br/>Clé : {{key}};Failed to delete picture :<br/>{{picture}}<br/>Key: {{key}};;;;;;
equipmentEditorUpdatingEquipment;Mise à jour de l’équipement…;Updating equipment…;;;;;;
equipmentEditorEquipmentCreated;Equipement créé;Equipment created;;;;;;
equipmentEditorRemovingAnnotation;Suppression de l’annotation;Removing annotation;;;;;;
equipmentEditorAnnotationRemoved;Annotation supprimée;Annotation removed;;;;;;
equipmentEditorNameLabel;Nom de l’équipement;Equipment name;;;;;;
equipmentEditorNamePlaceholder;Nom de l’équipement;Equipment name;;;;;;
equipmentEditorDescriptionLabel;Description;Description;;;;;;
equipmentEditorDescriptionPlaceholder;Entrez une description;Enter description;;;;;;
equipmentEditorTechnicalSpecsLabel;Spécifications techniques;Technical specs;;;;;;
equipmentEditorTechnicalSpecsPlaceholder;Entrez des spécifications techniques;Enter technical specs….;;;;;;
equipmentEditorLanguage;Langue;Language;;;;;;
equipmentEditorUploadLabel;Attachez des fichiers et des liens pour cette langue ({{locale}});Upload and link files for this language ({{locale}});;;;;;
equipmentEditorDatasheetInputLabel;Documentation technique;Datasheet;;;;;;
equipmentEditorDatasheetInputPlaceholder;Sélectionnez une documentation technique;Select a datasheet;;;;;;
equipmentEditorVideoLabel;Vidéo;Video;;;;;;
equipmentEditorVideoPlaceholder;Entrez un lien youtube;Enter youtube link;;;;;;
equipmentEditorPicturesLabel;Images;Pictures;;;;;;
equipmentEditorPicturesPlaceholder;Sélectionnez des images;Select some pictures;;;;;;
equipmentEditorEditAnnotations;Editer les annotations de ce modèle;Edit associated model annotations;;;;;;
equipmentEditorSaveForm;Sauvegarder;Save settings;;;;;;
equipmentPreviewTitle;Aperçu {{locale}} – {{language}};Preview {{locale}} – {{language}};;;;;;
equipmentPreviewUnsaved;Non sauvegardé;Unsaved;;;;;;
equipmentPreviewAnnotationDialogTitle;Edition d’annotations;Edit annotations;;;;;;
equipmentPreviewAnnotationDialogCreate;Créer une annotation;Create new annotation;;;;;;
equipmentPreviewDeleteDialogTitle;Êtes-vous sûr(e) de vouloir supprimer cet élément ?;Are you sure you want to delete this item ?;;;;;;
equipmentPreviewDeleteDialogSubtitle;Cette action est irreversible.;This action is irreversible.;;;;;;
equipmentPreviewDeleteDialogConfirm;Oui, supprimer;Yes, delete;;;;;;
createCustomerTitle;Nouveau client;New customer;;;;;;
createCustomerSubtitle;Créer un nouveau client;Create new customer;;;;;;
createCustomerFailed;Echec de la création du client;Failed to create customer;;;;;;
createCustomerFailedDuplicate;Echec de la création du client : email déjà utilisé;Failed to create customer : email already used;;;;;;
createCustomerConfirmation;Client créé avec succès;Customer created;;;;;;
createCustomerDetailsLabel;Détails du client;Customer details;;;;;;
createCustomerFirstNameLabel;Prénom;First name;;;;;;
createCustomerFirstNamePlaceholder;Prénom;First name;;;;;;
createCustomerLastNameLabel;Nom;Last name;;;;;;
createCustomerLastNamePlaceholder;Nom;Last name;;;;;;
createCustomerCompanyLabel;Société;Company;;;;;;
createCustomerCompanyPlaceholder;Société;Company;;;;;;
createCustomerHatcheryLabel;Poulailler;Hatchery;;;;;;
createCustomerHatcheryPlaceholder;Poulailler;Hatchery;;;;;;
createCustomerContactLabel;Contact;Contact;;;;;;
createCustomerEmailLabel;Adresse mail;E-mail address;;;;;;
createCustomerEmailPlaceholder;Adresse mail;E-mail address;;;;;;
createCustomerPhoneLabel;Numéro de téléphone;Phone number;;;;;;
createCustomerPhonePlaceholder;Numéro de téléphone;Phone number;;;;;;
createCustomerAddressSection;Adresse du client;Customer address;;;;;;
createCustomerAddressLine1Placeholder;Adresse (ligne 1);Address line 1;;;;;;
createCustomerAddressLine2Placeholder;Adresse (ligne 2);Address line 2;;;;;;
createCustomerZipCodeLabel;Code postal;Zip code;;;;;;
createCustomerZipCodePlaceholder;Code postal;Zip code;;;;;;
createCustomerCityLabel;Ville;City;;;;;;
createCustomerCityPlaceholder;Ville;City;;;;;;
createCustomerCountryLabel;Pays;Country;;;;;;
createCustomerCountryPlaceholder;Pays;Country;;;;;;
createCustomerAccessStatusLabel;Contrôle d’accès;Access status;;;;;;
createCustomerAccessStatusAllowedUntil;Accès accordé jusqu’au;Allow access until;;;;;;
createCustomerSubmitButton;Créer le client;Create customer;;;;;;
editCustomerSubtitle;Edition client;Edit customer;;;;;;
editCustomerFailed;Echec de l’édition du client;Failed to edit customer;;;;;;
editCustomerFailedDuplicate;Echec de l’édition du client : email déjà utilisé;Failed to edit customer : email already used;;;;;;
editCustomerConfirmation;Client édité avec succès;Customer edited;;;;;;
editCustomerDetailsLabel;Détails du client;Customer details;;;;;;
editCustomerFirstNameLabel;Prénom;First name;;;;;;
editCustomerFirstNamePlaceholder;Prénom;First name;;;;;;
editCustomerLastNameLabel;Nom;Last name;;;;;;
editCustomerLasttNamePlaceholder;Nom;Last name;;;;;;
editCustomerCompanyLabel;Société;Company;;;;;;
editCustomerCompanyPlaceholder;Société;Company;;;;;;
editCustomerHatcheryLabel;Poulailler;Hatchery;;;;;;
editCustomerHatcheryPlaceholder;Poulailler;Hatchery;;;;;;
editCustomerContactLabel;Contact;Contact;;;;;;
editCustomerEmailLabel;Adresse mail;E-mail address;;;;;;
editCustomerEmailPlaceholder;Adresse mail;E-mail address;;;;;;
editCustomerPhoneLabel;Numéro de téléphone;Phone number;;;;;;
editCustomerPhonePlaceholder;Numéro de téléphone;Phone number;;;;;;
editCustomerAddressSection;Adresse du client;Customer address;;;;;;
editCustomerAddressLine1Placeholder;Adresse (ligne 1);Address line 1;;;;;;
editCustomerAddressLine2Placeholder;Adresse (ligne 2);Address line 2;;;;;;
editCustomerZipCodeLabel;Code postal;Zip code;;;;;;
editCustomerZipCodePlaceholder;Code postal;Zip code;;;;;;
editCustomerCityLabel;Ville;City;;;;;;
editCustomerCityPlaceholder;Ville;City;;;;;;
editCustomerCountryLabel;Pays;Country;;;;;;
editCustomerCountryPlaceholder;Pays;Country;;;;;;
editCustomerAccessStatusLabel;Contrôle d’accès;Access status;;;;;;
editCustomerAccessStatusAllowedUntil;Accès accordé jusqu’au;Allow access until;;;;;;
editCustomerSaveForm;Sauvegarder;Save settings;;;;;;
profileSubtitle;Mon profil;My profile;;;;;;
profileFirstNameLabel;Prénom;First name;;;;;;
profileFirstNamePlaceholder;Prénom;First name;;;;;;
profileLastNameLabel;Nom;Last name;;;;;;
profileLasttNamePlaceholder;Nom;Last name;;;;;;
profileEmailLabel;Adresse mail;E-mail address;;;;;;
profileEmailPlaceholder;Adresse mail;E-mail address;;;;;;
profileSaveFailed;Echec de l’édition du profil;Failed to edit profile;;;;;;
profileSaveFailedDuplicate;Echec de l’édition du profil: email déjà utilisé;Failed to edit profile : email already used;;;;;;
profileSaveSuccess;Profil édité avec succès;Changes saved;;;;;;
profilePasswordLabel;Mot de passe;Password;;;;;;
profilePasswordPlaceholder;********;********;;;;;;
profileMySalesRep;Mon commercial;My sales rep;;;;;;
profileSave;Sauvegarder;Save settings;;;;;;
salesCreateTitle;Nouveau commercial;New Sales Representative;;;;;;
salesCreateSubtitle;Création d’un nouveau commercial;Create new sales representative;;;;;;
salesCreateFailed;Echec de la création du commercial;Failed to create sales representative;;;;;;
salesCreateFailedDuplicate;Echec de la création du commercial : email déjà utilisé;Failed to create sales representative : email already used;;;;;;
salesCreateConfirmation;Commercial créé avec succès;Sales representative created;;;;;;
salesCreateDetailsLabel;Détails du commercial;Sales representative details;;;;;;
salesCreateFirstNameLabel;Prénom;First name;;;;;;
salesCreateFirstNamePlaceholder;Prénom;First name;;;;;;
salesCreateLastNameLabel;Nom;Last name;;;;;;
salesCreateLasttNamePlaceholder;Nom;Last name;;;;;;
salesCreateContactLabel;Contact;Contact;;;;;;
salesCreateEmailLabel;Adresse mail;E-mail address;;;;;;
salesCreateEmailPlaceholder;Adresse mail;E-mail address;;;;;;
salesCreatePhoneLabel;Numéro de téléphone;Phone number;;;;;;
salesCreatePhonePlaceholder;Numéro de téléphone;Phone number;;;;;;
salesCreateAccessStatusLabel;Contrôle d’accès;Access status;;;;;;
salesCreateAccessStatusAllow;Authoriser l’accès;Allow access;;;;;;
salesCreateFormSubmit;Créer le commercial;Create sales;;;;;;
salesEditSubtitle;Editer le commercial;Edit Sales Representative;;;;;;
salesEditFailed;Echec de l’édition du commercial;Failed to edit sales representative;;;;;;
salesEditFailedDuplicate;Echec de l’édition du commercial : email déjà utilisé;Failed to edit sales representative : email already used;;;;;;
salesEditConfirmation;Commercial édité avec succès;Sales representative edited;;;;;;
salesEditDetailsLabel;Détails du commercial;Sales representative details;;;;;;
salesEditFirstNameLabel;Prénom;First name;;;;;;
salesEditFirstNamePlaceholder;Prénom;First name;;;;;;
salesEditLastNameLabel;Nom;Last name;;;;;;
salesEditLasttNamePlaceholder;Nom;Last name;;;;;;
salesEditContactLabel;Contact;Contact;;;;;;
salesEditEmailLabel;Adresse mail;E-mail address;;;;;;
salesEditEmailPlaceholder;Adresse mail;E-mail address;;;;;;
salesEditPhoneLabel;Numéro de téléphone;Phone number;;;;;;
salesEditPhonePlaceholder;Numéro de téléphone;Phone number;;;;;;
salesEditAccessStatusLabel;Contrôle d’accès;Access status;;;;;;
salesEditAccessStatusAllow;Authoriser l’accès;Allow access;;;;;;
salesEditFormSubmit;Editer le commercial;Edit sales;;;;;;
usersListSalesRepListTitle;Commerciaux;Sales representatives;;;;;;
usersListColName;Nom;Name;;;;;;
usersListColEnabled;Actif;Enabled;;;;;;
usersListColStatus;Statut;Status;;;;;;
usersListColHatchery;Poulailler;Hatchery;;;;;;
usersListColCompany;Société;Company;;;;;;
usersListColConfigurations;Configuration ;Configurations;;;;;;
usersListCustomersListTitle;Clients;Customers;;;;;;
usersListDeletingUser;Suppression de l’utilisateur…;Deleting user…;;;;;;
usersListUserDeleted;Utilisateur supprimé;User deleted;;;;;;
usersListFailedToDeleteUser;Echec de la suppression de l’utilisateur;Failed to delete user.;;;;;;
usersListAddCustomerButton;+ ajouter un client;+ add new customer;;;;;;
usersListAddSalesRepButton;+ ajouter un nouveau commercial;+ add new sales rep;;;;;;
usersListDeleteCustomerDialogTitle;Êtes-vous sûr(e) de vouloir supprimer ce client ?;Are you sure you want to delete this customer ?;;;;;;
usersListDeleteCustomerDialogSubtitle;Cette action est irreversible.;This action is irreversible.;;;;;;
usersListDeleteCustomerDialogPositiveBtn;Oui, supprimer;Yes, delete;;;;;;
userAdapterStatusNeverExpires;Validité permanente;Never expires;;;;;;
userAdapterStatusExpired;Expiré;Expired;;;;;;
userAdapterXDaysLeft;{{days}} jour(s) restant(s);{{days}} day(s) left;;;;;;
userAdapterEditAction;éditer;Edit ;;;;;;
userAdapterRemoveAction;supprimer;delete;;;;;;
configurationAdapterEditAction;éditer;Edit ;;;;;;
configurationAdapterRemoveAction;supprimer;delete;;;;;;
salesDetailsCustomerAdapterEditAction;éditer;Edit ;;;;;;
salesDetailsCustomerAdapterRemoveAction;supprimer;delete;;;;;;
roomsConfigurationListCreateBtn;Créer une configuration;Create configuration;;;;;;
roomsConfigurationListEditSection;Editer ou supprimer une configuration :;Edit or delete a configuration :;;;;;;
salesDetailsPageSubtitle;Profil édité avec succès;Profile;;;;;;
salesDetailsPageDetailsSection;Détails du commercial;Sales Rep. Details;;;;;;
salesDetailsPageAccessSection;Gestion d’accès;Access status;;;;;;
salesDetailsPageAccessSendBtn;Envoi de l’accès;Send access;;;;;;
salesDetailsPageAccessExpiresAt;Expire le :;Expires at :;;;;;;
salesDetailsPageAccessLastLogin;Dernière connexion :;Last login :;;;;;;
salesDetailsPageAccessStatus;Autorisé;Authorized;;;;;;
salesDetailsPageAccessStatusRevoked;Révoqué;Revoked;;;;;;
salesDetailsPageAccessStatusExpired;Expiré;Expired;;;;;;
salesDetailsPageCustomerListSection;Liste clients;Customer list;;;;;;
salesDetailsPageCustomerListAddBtn;Ajouter un nouveau client;Add new customer;;;;;;
salesDetailsPageAdapterColName;Nom;Name;;;;;;
salesDetailsPageAdapterColEnabled;Actif;Enabled;;;;;;
salesDetailsPageAdapterColStatus;Statut;Status;;;;;;
salesDetailsPageAdapterColConfigurations;Configurations;Configurations;;;;;;
salesDetailsPageAdapterCustomerListEmpty;Pas encore de clients;Not customers yet;;;;;;
salesDetailsPageAccessStatusNever;jamais;never;;;;;;
salesDetailsPageSubtitle;Profil;Profile;;;;;;
customerDetailsPageSubtitle;Profil;Profile;;;;;;
customerDetailsPageDetailsSection;Détails du client;Customer Details;;;;;;
customerDetailsPageAccessSection;Gestion d’accès;Access status;;;;;;
customerDetailsPageAccessSendBtn;Envoi de l’accès;Send access;;;;;;
customerDetailsPageAccessExpiresAt;Expire le :;Expires at :;;;;;;
customerDetailsPageAccessLastLogin;Dernière connexion :;Last login :;;;;;;
customerDetailsPageAccessStatus;Autorisé;Authorized;;;;;;
customerDetailsPageAccessStatusDisabled;Désactivé;Disabled;;;;;;
customerDetailsPageAccessStatusExpired;Expiré;Expired;;;;;;
customerDetailsPageConfigurationrListSection;Configurations du client;Customer’s configurations;;;;;;
customerDetailsPageConfigurationListAddBtn;Ajouter une nouvelle configuration;Add configuration;;;;;;
customerDetailsPageAdapterColRoomName;Nom de la pièce;Room name;;;;;;
customerDetailsPageAdapterColCfgName;Nom de la configuration;Configuration name;;;;;;
customerDetailsPageAdapterColCreationDate;Créée le;Date created;;;;;;
customerDetailsPageAdapterColPDF;PDF;PDF;;;;;;
customerDetailsPageSubtitle;Profil;Profile;;;;;;
customerDetailsRemovingConfiguration;Suppression de la configuration;Removing configuration;;;;;;
customerDetailsConfigurationRemoved;Configuration supprimée;Configuration removed;;;;;;
customerDetailsAccessSent;Accès envoyé au client;Access sent to customer;;;;;;
customerDetailsSalesRep;Commercial :;Sales representative :;;;;;;
customerDetailsPageAccessStatusNever;jamais;never;;;;;;
customerDetailsDialogTitle;Choisissez une pièce :;Pick a room :;;;;;;
customerDetailsRemoveDialogTitle;Êtes-vous sûr(e) de vouloir supprimer la configuration {{cfgName}} ?;Are you sure you want to delete configuration {{cfgName}}?;;;;;;
customerDetailsRemoveDialogSubtitle;Cette action est irreversible.;This action is irreversible.;;;;;;
customerDetailsRemoveDialogConfirm;Oui, supprimer;Yes, delete;;;;;;
customerDetailsAssignCustomerNewSalesRep;Assigner l’utilisateur à un nouveau commercial;Assign customer to a new sales representative.;;;;;;
customerDetailsAssignedCustomer;Client assigné à {{salesRep}};Assigned customer to {{salesRep}};;;;;;
customerDetailsAssigningCustomer;Assignation du client au commercial.;Assigning customer to a new sales representative.;;;;;;
customerDetailsPageConfigurationListEmpty;Pas encore de configurations;No configurations yet;;;;;;
roomDetailsRemovingCfg;Suppression de la configuration.;Removing configuration.;;;;;;
roomDetailsCfgRemoved;Configuration supprimée.;Configuration removed.;;;;;;
roomDetailsFailedToAddCfg;Echec de l’ajout de la configuration;Failed to add configuration;;;;;;
roomDetailsAddToCustomersList;Ajouter au client;Add to customer’s list;;;;;;
roomDetailsAddingCfg;Ajout de la configuration…;Adding configuration…;;;;;;
roomDetailsCfgAdded;Configuration ajoutée.;Configuration added.;;;;;;
roomEmptyConfiguration;Configuration vide;Empty configuration;;;;;;
accessSendPageConfirmation;Accès envoyé.;Access sent.;;;;;;
accessSendPageSubtitle;Envoi d’accès à la plateforme;Platform access sending;;;;;;
accessSendPageMessagePlaceholder;Saisissez un message…;Type message…;;;;;;
accessSendPageMessageLabel;Ajouter un message :;Add a message :;;;;;;
accessSendButton;Envoyer l’accès;Send access;;;;;;
accessSendFailed;Echec de l’envoi.;Failed to send access.;;;;;;
mandatoryField;Champ obligatoire;Mandatory field;;;;;;
invalidMail;Email non conforme;Invalid mail;;;;;;
passwordTooWeak;Le mot de passe doit faire au moins huit caractères.;Password must be at least 8 characters long;;;;;;
